YEAR,Rk,TEAM,GP,W,L,T,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,PO,AvAge,OL,SOW,SOL
1990,1.0,Boston Bruins,80,46,25,9.0,101,0.631,289,232,0.64,-0.08,3.61,2.9,83,352,23.58,53,316,83.23,5,3,18.2,19.8,2611,11.1,2147,0.892,5,YES,,,,
1990,2.0,Calgary Flames,80,42,23,15.0,99,0.619,348,265,1.0,-0.04,4.35,3.31,99,357,27.73,76,366,79.23,11,6,21.9,20.3,2748,12.7,2027,0.869,2,YES,,,,
1990,3.0,Buffalo Sabres,80,45,27,8.0,98,0.613,286,248,0.42,-0.05,3.58,3.1,79,358,22.07,58,351,83.48,7,7,18.1,19.0,2416,11.8,2524,0.902,1,YES,,,,
1990,4.0,Montreal Canadiens,80,41,28,11.0,93,0.581,288,234,0.6,-0.07,3.6,2.93,54,340,15.88,57,295,80.68,4,7,19.9,20.7,2488,11.6,2300,0.898,4,YES,,,,
1990,5.0,Edmonton Oilers,80,38,28,14.0,90,0.563,315,283,0.42,0.02,3.94,3.54,84,407,20.64,82,417,80.34,22,6,25.6,25.7,2252,14.0,2325,0.878,2,YES,,,,
1990,6.0,Chicago Blackhawks,80,41,33,6.0,88,0.55,316,294,0.23,-0.05,3.95,3.68,80,349,22.92,75,379,80.21,11,9,30.3,29.9,2640,12.0,2188,0.866,2,YES,,,,
1990,7.0,Winnipeg Jets,80,37,32,11.0,85,0.531,298,290,0.15,0.05,3.73,3.63,65,347,18.73,57,333,82.88,14,7,20.5,20.3,2430,12.3,2378,0.878,2,YES,,,,
1990,8.0,Hartford Whalers,80,38,33,9.0,85,0.531,275,268,0.07,-0.02,3.44,3.35,80,398,20.1,74,401,81.55,12,10,26.3,27.4,2264,12.1,2131,0.874,4,YES,,,,
1990,9.0,New York Rangers,80,36,31,13.0,85,0.531,279,267,0.12,-0.03,3.49,3.34,103,442,23.3,77,362,78.73,7,8,25.3,29.4,2385,11.7,2403,0.889,1,YES,,,,
1990,10.0,New Jersey Devils,80,37,34,9.0,83,0.519,295,288,0.06,-0.03,3.69,3.6,64,337,18.99,67,340,80.29,10,12,20.7,20.3,2464,12.0,2457,0.883,0,YES,,,,
1990,11.0,St. Louis Blues,80,37,34,9.0,83,0.519,295,279,0.16,-0.04,3.69,3.49,79,351,22.51,67,351,80.91,9,12,22.6,22.0,2333,12.6,2360,0.882,2,YES,,,,
1990,12.0,Toronto Maple Leafs,80,38,38,4.0,80,0.5,337,358,-0.26,0.0,4.21,4.48,81,348,23.28,89,408,78.19,16,17,30.2,29.8,2435,13.8,2798,0.872,0,YES,,,,
1990,13.0,Washington Capitals,80,36,38,6.0,78,0.488,284,275,0.08,-0.03,3.55,3.44,70,412,16.99,71,370,80.81,9,15,27.6,29.6,2421,11.7,2324,0.882,3,YES,,,,
1990,14.0,Minnesota North Stars,80,36,40,4.0,76,0.475,284,291,-0.1,-0.02,3.55,3.64,81,386,20.98,74,397,81.36,14,16,25.5,25.6,2571,11.0,2426,0.88,3,YES,,,,
1990,15.0,Los Angeles Kings,80,34,39,7.0,75,0.469,338,337,0.07,0.06,4.23,4.21,76,343,22.16,88,366,75.96,11,14,23.1,22.4,2371,14.3,2483,0.864,2,YES,,,,
1990,16.0,New York Islanders,80,31,38,11.0,73,0.456,281,288,-0.1,-0.01,3.51,3.6,78,330,23.64,87,371,76.55,10,8,22.2,21.2,2359,11.9,2682,0.893,5,YES,,,,
1990,17.0,Pittsburgh Penguins,80,32,40,8.0,72,0.45,318,359,-0.49,0.02,3.98,4.49,86,403,21.34,94,372,74.73,7,21,26.7,26.5,2320,13.7,2684,0.866,1,NO,,,,
1990,18.0,Philadelphia Flyers,80,30,39,11.0,71,0.444,290,297,-0.1,-0.01,3.63,3.71,65,338,19.23,77,406,81.03,14,13,25.8,22.9,2468,11.8,2543,0.883,1,NO,,,,
1990,19.0,Detroit Red Wings,80,28,38,14.0,70,0.438,288,323,-0.42,0.02,3.6,4.04,58,354,16.38,92,372,75.27,18,13,26.8,24.6,2262,12.7,2485,0.87,1,NO,,,,
1990,20.0,Vancouver Canucks,80,25,41,14.0,64,0.4,245,306,-0.64,0.13,3.06,3.83,64,374,17.11,86,342,74.85,8,8,20.6,23.0,2307,10.6,2427,0.874,0,NO,,,,
1990,21.0,Quebec Nordiques,80,12,61,7.0,31,0.194,240,407,-1.91,0.18,3.0,5.09,70,371,18.87,98,382,74.35,8,15,26.3,23.7,2301,10.4,2754,0.852,0,NO,,,,
1990,,League Average,80,35,35,10.0,80,0.5,295,295,,,,,76,367,20.77,76,367,79.23,11,11,24.0,24.0,2421,12.2,2421,0.878,2,NO,,,,
1991,1.0,Chicago Blackhawks,80,49,23,8.0,106,0.663,284,211,0.85,-0.06,3.55,2.64,87,393,22.14,68,425,84.0,20,10,30.2,28.4,2564,11.1,2214,0.905,4,YES,,,,
1991,2.0,St. Louis Blues,80,47,22,11.0,105,0.656,310,250,0.7,-0.05,3.88,3.13,70,348,20.11,55,339,83.78,10,18,24.8,25.6,2550,12.2,2345,0.893,3,YES,,,,
1991,3.0,Los Angeles Kings,80,46,24,10.0,102,0.638,340,254,1.04,-0.04,4.25,3.18,80,391,20.46,63,370,82.97,8,18,27.9,31.0,2410,14.1,2412,0.895,4,YES,,,,
1991,4.0,Boston Bruins,80,44,24,12.0,100,0.625,299,264,0.32,-0.12,3.74,3.3,74,351,21.08,64,368,82.61,11,8,21.2,23.5,2512,11.9,2240,0.882,5,YES,,,,
1991,5.0,Calgary Flames,80,46,26,8.0,100,0.625,344,263,0.98,-0.03,4.3,3.29,91,384,23.7,77,420,81.67,17,8,27.5,26.2,2604,13.2,2200,0.88,1,YES,,,,
1991,6.0,Montreal Canadiens,80,39,30,11.0,89,0.556,273,249,0.2,-0.1,3.41,3.11,66,357,18.49,54,282,80.85,6,10,17.8,19.9,2385,11.4,2316,0.892,2,YES,,,,
1991,7.0,Pittsburgh Penguins,80,41,33,6.0,88,0.55,342,305,0.42,-0.04,4.28,3.81,89,388,22.94,73,351,79.2,12,12,20.5,21.5,2416,14.2,2723,0.888,1,YES,,,,
1991,8.0,New York Rangers,80,36,31,13.0,85,0.531,297,265,0.36,-0.04,3.71,3.31,91,389,23.39,73,362,79.83,9,10,23.7,24.3,2444,12.2,2550,0.896,3,YES,,,,
1991,9.0,Buffalo Sabres,80,31,30,19.0,81,0.506,292,278,0.08,-0.09,3.65,3.48,73,400,18.25,62,368,83.15,15,8,21.6,22.3,2410,12.1,2432,0.886,3,YES,,,,
1991,10.0,Washington Capitals,80,37,36,7.0,81,0.506,258,258,0.0,0.0,3.23,3.23,64,340,18.82,44,314,85.99,13,15,23.0,25.4,2370,10.9,2112,0.878,5,YES,,,,
1991,11.0,Edmonton Oilers,80,37,37,6.0,80,0.5,272,272,0.06,0.06,3.4,3.4,63,361,17.45,80,388,79.38,13,4,22.8,21.4,2207,12.3,2428,0.888,1,YES,,,,
1991,12.0,New Jersey Devils,80,32,33,15.0,79,0.494,272,264,0.09,-0.01,3.4,3.3,69,347,19.88,80,394,79.7,8,13,25.3,23.1,2495,10.9,2236,0.882,1,YES,,,,
1991,13.0,Philadelphia Flyers,80,33,37,10.0,76,0.475,252,267,-0.18,0.01,3.15,3.34,68,338,20.12,72,376,80.85,2,16,24.3,23.6,2284,11.0,2294,0.884,1,NO,,,,
1991,14.0,Detroit Red Wings,80,34,38,8.0,76,0.475,273,298,-0.27,0.05,3.41,3.73,57,347,16.43,89,399,77.69,17,5,24.3,22.2,2310,11.8,2353,0.873,2,YES,,,,
1991,15.0,Hartford Whalers,80,31,38,11.0,73,0.456,238,276,-0.51,-0.03,2.98,3.45,73,403,18.11,72,369,80.49,5,9,27.6,27.3,2313,10.3,2161,0.872,2,YES,,,,
1991,16.0,Minnesota North Stars,80,27,39,14.0,68,0.425,256,266,-0.1,0.03,3.2,3.33,76,382,19.9,75,378,80.16,9,7,24.6,23.4,2565,10.0,2266,0.883,5,YES,,,,
1991,17.0,Vancouver Canucks,80,28,43,9.0,65,0.406,243,315,-0.76,0.14,3.04,3.94,65,391,16.62,76,339,77.58,10,16,25.8,26.8,2398,10.1,2371,0.867,1,YES,,,,
1991,18.0,Winnipeg Jets,80,26,43,11.0,63,0.394,260,288,-0.26,0.09,3.25,3.6,74,381,19.42,57,351,83.76,8,12,20.9,21.8,2304,11.3,2498,0.885,5,NO,,,,
1991,19.0,New York Islanders,80,25,45,10.0,60,0.375,223,290,-0.77,0.06,2.79,3.63,51,317,16.09,78,353,77.9,9,12,21.5,20.3,2168,10.3,2495,0.884,0,NO,,,,
1991,20.0,Toronto Maple Leafs,80,23,46,11.0,57,0.356,241,318,-0.86,0.11,3.01,3.98,61,346,17.63,83,368,77.45,16,6,24.5,23.7,2343,10.3,2573,0.876,2,NO,,,,
1991,21.0,Quebec Nordiques,80,16,50,14.0,46,0.288,236,354,-1.42,0.06,2.95,4.43,51,328,15.55,98,368,73.37,10,11,21.7,20.1,2030,11.6,2863,0.876,0,NO,,,,
1991,,League Average,80,35,35,11.0,80,0.5,276,276,,,,,71,366,19.44,71,366,80.56,11,11,23.9,23.9,2385,11.6,2385,0.884,2,NO,,,,
1992,1.0,New York Rangers,80,50,25,5.0,105,0.656,321,246,1.02,0.08,4.01,3.08,81,387,20.93,60,395,84.81,14,12,22.4,24.1,2632,12.2,2543,0.903,5,YES,,,,
1992,2.0,Washington Capitals,80,45,27,8.0,98,0.613,330,275,0.78,0.09,4.13,3.44,92,412,22.33,60,368,83.7,14,15,21.9,24.2,2481,13.3,2270,0.879,2,YES,,,,
1992,3.0,Detroit Red Wings,80,43,25,12.0,98,0.613,320,256,0.74,-0.06,4.0,3.2,72,386,18.65,78,419,81.38,18,7,25.6,23.9,2478,12.9,2238,0.886,3,YES,,,,
1992,4.0,Vancouver Canucks,80,42,26,12.0,96,0.6,285,250,0.31,-0.13,3.56,3.13,85,439,19.36,76,382,80.1,12,7,25.7,28.4,2669,10.7,2299,0.891,5,YES,,,,
1992,5.0,Montreal Canadiens,80,41,28,11.0,93,0.581,267,207,0.64,-0.12,3.34,2.59,74,379,19.53,60,320,81.25,4,5,19.3,22.0,2443,10.9,2227,0.907,7,YES,,,,
1992,6.0,Chicago Blackhawks,80,36,29,15.0,87,0.544,257,236,0.22,-0.04,3.21,2.95,81,467,17.34,76,482,84.23,11,10,33.0,31.8,2646,9.7,2028,0.884,6,YES,,,,
1992,7.0,New Jersey Devils,80,38,31,11.0,87,0.544,289,259,0.48,0.1,3.61,3.24,59,338,17.46,68,374,81.82,15,10,20.0,20.4,2495,11.6,2290,0.887,3,YES,,,,
